uid, mimetype, format, format_version, valid, wellformed, creating_application_name, created, size, checksum_md5, lastmodified_fs, puid, lastmodified, linebreak, charset, byteorder, compression_scheme, image_width, image_height, colorspace, YCbCrSubSampling, sampling_frequency_unit, sampling_frequency_x, sampling_frequency_y, bitspersample, samplesperpixel, lightsource, icc_profile_name, orientation, scanner_softwarename, icc_profile_version, bit_rate, samplerate, channels, title, creating_os, message, markupbasis, YCbCrPositioning, digitalcamera_modelname, fnumber, exposure_time, isospeedrating, flash, focallength, digitalcamera_manufacturer, exif_version, shutterspeedvalue, aperture_value, pagecount, is_tagged, has_outline, has_annotations, is_rightsmanaged, is_protected, has_forms, author, language, duration, frameRate, audioSampleRate, encoding, markupBasisVersion, referenceBlackWhite, audio_dataencoding, bit_depth, rotation, subject, brightness, exposure_biasvalue, meteringmode, exposure_program, aperture_value_max, sensingmethod, gpsVersionID, numsamples, block_align, wordsize, offset, YCbCrCoefficients, whitePointXValue, whitePointYValue, subjectDistance, exposureIndex, capturedevice, brightnessvalue, creating_application_version, wordcount, charactercount, gpsLatitude, gpsLongitude, gpsAltitudeRef, gpsAltitude, gpsTimeStamp, gpsMeasureMode, gpsDOP, gpsSpeed, gpsTrack, gpsImgDirection, gpsDestLatitude, gpsDestLongitude, gpsDestBearing, gpsDestDistance, markupLanguage, scanner_manufacturer, scanner_modelname, location, mimeType, formatProfile, dateModified, videoDataEncoding, codecId, codecCC, codecVersion, codecName, codecFamily, codecInfo, compression, delay, trackSize, width, height, frameCount, aspectRatio, scanningFormat, chromaSubsampling, bitRateMode, samplingRate, tablecount, graphicsCount, dateCreated, frameRateMode, soundField, inhibitortype, milliseconds, gpsDateStamp, software, 
/home/asztrik/Documents/TUW/2DP/3/spacesound/interstellar.mp3, audio/mpeg, MPEG 1/2 Audio Layer 3, 1, , , , Tue Sep 10 21:46:59 CEST 2013, 306473, ed9da6784ab590d515ca3db7f8002cf1, Wed May 25 21:39:15 CEST 2016, fmt/134, Wed May 25 21:39:15 CEST 2016, , , , , , , , , , , , , , , , , , , CONFLICT, 44100, CONFLICT, , , , , , , , , , , , , , , , , , , , , , , , , 0:0:12:761, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 12761, , , 
/home/asztrik/Documents/TUW/2DP/3/spacesound/interstellar.mp3.dat, text/plain, Plain text, , true, true, , , 9932579, b2c9a66608a4cb652bc096f681941a0a, Thu Jun 09 22:46:55 CEST 2016, , , CR/LF, US-ASCII, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
/home/asztrik/Documents/TUW/2DP/3/saturn.csv, audio/mpeg, MPEG 1/2 Audio Layer 3, , , , , , 20703567, 1729e592c30bda071f2c80d9cc168456, Sun Aug 02 13:52:26 CEST 2015, fmt/134, Sun Aug 02 13:52:26 CEST 2015, , , , , , , , , , , , , , , , , , , 88.6 kbps, 44100, 2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
/home/asztrik/Documents/TUW/2DP/3/spacesound/earth.mp3, audio/mpeg, MPEG 1/2 Audio Layer 3, 1, , , , , 25029165, 349162594d4b0247616893b85b7eae87, Sat Mar 07 21:33:38 CET 2015, fmt/134, Sat Mar 07 21:33:38 CET 2015, , , , , , , , , , , , , , , , , , , CONFLICT, 48000, 2, , , , , , , , , , , , , , , , , , , , , , , , , 1:44:17:242, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 6257242, , , 
/home/asztrik/Documents/TUW/2DP/3/static/rain.mp3.wav, audio/x-wave, Waveform Audio, , true, true, , , 39727998, d61c458a82f04554f314f65d1a153ce9, Thu Jun 09 22:48:57 CEST 2016, fmt/141, Thu Jun 09 22:48:57 CEST 2016, , , LITTLE_ENDIAN, , , , , , , , , , , , , , , , , 22050, 2, , , , , , , , , , , , , , , , , , , , , , , , , 0:15:00, , , , , , CONFLICT, 8, , , , , , , , , , 19863960, 2, 1, 78, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , Lavf56.40.101, 
/home/asztrik/Documents/TUW/2DP/3/static/static.mp3, audio/mpeg, MPEG 1/2 Audio Layer 3, 1, , , , , 58223, ca68d1d24cd9b1ab4ee9c1b79e66b585, Wed Dec 11 17:00:03 CET 2013, fmt/134, Wed Dec 11 17:00:03 CET 2013, , , , , , , , , , , , , , , , , , , CONFLICT, 44100, 2, , , , , , , , , , , , , , , , , , , , , , , , , 0:0:14:506, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 14506, , , 
/home/asztrik/Documents/TUW/2DP/3/spacesound/io.mp3, audio/mpeg, MPEG 1/2 Audio Layer 3, 1, , , , , 24606333, 62efaa88694cecd85ec9284477e4f1c8, Sun Oct 26 09:58:20 CET 2014, fmt/134, Sun Oct 26 09:58:20 CET 2014, , , , , , , , , , , , , , , , , , , CONFLICT, 48000, 2, , , , , , , , , , , , , , , , , , , , , , , , , 1:42:31:534, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 6151534, , , 
/home/asztrik/Documents/TUW/2DP/3/spacesound/saturn.mp3, audio/mpeg, MPEG 1/2 Audio Layer 3, 2.5, , , , , 313520, b42ffed69ee6d1a63055093db27507de, Wed May 25 21:36:14 CEST 2016, , Wed May 25 21:36:14 CEST 2016, , , , , , , , , , , , , , , , , , , CONFLICT, 8000, CONFLICT, spookysaturn, , , , , , , , , , , , , , , , , , , , , , , , 0:0:19:582, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 19582, , , 
/home/asztrik/Documents/TUW/2DP/3/csv/enceladus.csv, CONFLICT, CONFLICT, , , , , , 5055591, 111df2fe65090652e8ce09a839e7127d, Thu Jun 09 22:28:55 CEST 2016, x-fmt/18, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
/home/asztrik/Documents/TUW/2DP/3/spacesound/miranda.mp3, audio/mpeg, MPEG 1/2 Audio Layer 3, 1, , , , , 27587133, 4feb4c4a8ccfc3073c82176017e3ed88, Sat Mar 07 17:07:48 CET 2015, fmt/134, Sat Mar 07 17:07:48 CET 2015, , , , , , , , , , , , , , , , , , , CONFLICT, 48000, 2, , , , , , , , , , , , , , , , , , , , , , , , , 0:14:22:91, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 862091, , , 
